# HOSTNAME = prod2-0175
llc_load_misses,bs,rep,wall_time,algo,l1_load_misses
43696815,1,0,2.007573904,ij,453096055
43694683,1,0,2.007380756,ji,453109815
42382324,4,0,1.779184275,tiled,270731187
43698279,1,0,2.007208497,ij,453104708
43694589,1,0,2.010310382,ji,453107100
42364482,4,0,1.778682114,tiled,270908532
43690419,1,0,2.007834045,ij,453103685
43694349,1,0,2.006608656,ji,453101470
42368229,4,0,1.780716098,tiled,270919703
43695985,1,1,2.006085394,ij,453101458
43701628,1,1,2.007065321,ji,453098187
42361860,1,1,2.434412857,tiled,451696969
42364819,2,1,2.142577677,tiled,288289161
42753224,3,1,1.949508231,tiled,305897963
42362432,4,1,1.780589295,tiled,270914123
42761866,5,1,2.016134399,tiled,247034524
42751551,6,1,1.982327274,tiled,219453346
42813331,7,1,1.910779537,tiled,210272432
42346987,8,1,1.83651713,tiled,165978786
42743047,9,1,1.828466328,tiled,197902641
42689292,10,1,1.822442765,tiled,190596509
42681003,11,1,1.950116579,tiled,192092709
42594751,12,1,1.917938517,tiled,179689458
42642847,13,1,1.894487766,tiled,188132852
42612651,14,1,1.875718579,tiled,183661050
42618026,15,1,1.855304649,tiled,185256987
42381881,16,1,1.817843266,tiled,165845614
42621837,17,1,1.812766077,tiled,183030879
42621286,18,1,1.798315361,tiled,179870770
42619357,19,1,1.786557216,tiled,181295004
42581232,20,1,1.783142429,tiled,174391713
42624418,21,1,1.892040383,tiled,179859187
42610269,22,1,1.820807859,tiled,177418714
42629047,23,1,1.811558201,tiled,178711291
42533284,24,1,1.792044589,tiled,166141194
42620160,25,1,1.791381373,tiled,177807716
42624659,26,1,1.783857572,tiled,175818442
42683378,27,1,1.781449122,tiled,177423836
42634314,28,1,1.769967428,tiled,172245449
42744006,29,1,1.768639003,tiled,177613183
42791394,30,1,1.77048865,tiled,175919078
42901955,31,1,1.790867549,tiled,177739291
42589183,32,1,1.768214262,tiled,165998418
42970247,33,1,1.791277151,tiled,178131003
42928888,34,1,1.797496876,tiled,177055264
43047206,35,1,1.820684141,tiled,179434353
42924662,36,1,1.811118797,tiled,175000834
43219208,37,1,1.816272821,tiled,181393329
43209591,38,1,1.808617678,tiled,180781527
43454984,39,1,1.81376478,tiled,184337400
43075799,40,1,1.801589473,tiled,171037854
43754912,41,1,1.826809261,tiled,187294142
43848810,42,1,1.869926992,tiled,186216833
44301516,43,1,1.832899928,tiled,189313110
44034800,44,1,1.820150659,tiled,183791760
44840708,45,1,1.832148749,tiled,190326934
44898451,46,1,1.829789118,tiled,188600290
45398258,47,1,1.831350618,tiled,190383951
44044485,48,1,1.802878827,tiled,178258686
45859972,49,1,1.83348272,tiled,189701845
45787815,50,1,1.832704096,tiled,187657796
46276190,51,1,1.839618574,tiled,188851490
45653451,52,1,1.826676799,tiled,183846024
46717306,53,1,1.840881782,tiled,188065933
46668956,54,1,1.838220457,tiled,186174475
47204193,55,1,1.845701302,tiled,187277753
45415224,56,1,1.818977555,tiled,176933340
47610898,57,1,1.843185983,tiled,186552818
47467274,58,1,1.839170362,tiled,184814932
48434811,59,1,1.847029108,tiled,185854083
47335809,60,1,1.838384069,tiled,181496847
48872472,61,1,1.855052104,tiled,185289987
