# HOSTNAME = prod2-0176
openmp,n_threads,par_loop,rep,elapsed_time,result
False,1,0,1,1.518186368048191,1224947712
False,1,0,2,1.5159669048152864,1224947712
False,1,0,3,1.5173583519645035,1224947712
False,1,0,4,1.516559205017984,1224947712
False,1,0,5,1.5051628260407597,1224947712
False,1,0,6,1.5008483219426125,1224947712
False,1,0,7,1.4943011831492186,1224947712
False,1,0,8,1.494816035963595,1224947712
False,1,0,9,1.4952932859305292,1224947712
False,1,0,10,1.4955227309837937,1224947712
True,1,0,1,1.50681266002357,1224947712
True,1,0,2,1.4952168171294034,1224947712
True,1,0,3,1.493562611984089,1224947712
True,1,0,4,1.4941258430480957,1224947712
True,1,0,5,1.4885320928879082,1224947712
True,1,0,6,1.489905908005312,1224947712
True,1,0,7,1.4854171720799059,1224947712
True,1,0,8,1.489568246062845,1224947712
True,1,0,9,1.5103102249559015,1224947712
True,1,0,10,1.4894464928656816,1224947712
True,2,0,1,1.4880915170069784,1224947712
True,2,0,2,1.4896898469887674,1224947712
True,2,0,3,1.4889734128955752,1224947712
True,2,0,4,1.4894087230786681,1224947712
True,2,0,5,1.4896730789914727,1224947712
True,2,0,6,1.4896902069449425,1224947712
True,2,0,7,1.4893205920234323,1224947712
True,2,0,8,1.496374729089439,1224947712
True,2,0,9,1.4914884641766548,1224947712
True,2,0,10,1.4886583250481635,1224947712
True,4,0,1,1.4900859431363642,1224947712
True,4,0,2,1.4897706708870828,1224947712
True,4,0,3,1.489327993011102,1224947712
True,4,0,4,1.4891727149952203,1224947712
True,4,0,5,1.4886975169647485,1224947712
True,4,0,6,1.489353524055332,1224947712
True,4,0,7,1.575091812061146,1224947712
True,4,0,8,1.4898246501106769,1224947712
True,4,0,9,1.4897309010848403,1224947712
True,4,0,10,1.4895903680007905,1224947712
True,10,0,1,1.4889345939736813,1224947712
True,10,0,2,1.4891714008990675,1224947712
True,10,0,3,1.4886848891619593,1224947712
True,10,0,4,1.4887549129780382,1224947712
True,10,0,5,1.488837954821065,1224947712
True,10,0,6,1.4892370889429003,1224947712
True,10,0,7,1.5217137830331922,1224947712
True,10,0,8,1.490174604114145,1224947712
True,10,0,9,1.490437197033316,1224947712
True,10,0,10,1.4894773249980062,1224947712
True,20,0,1,1.48929489008151,1224947712
True,20,0,2,1.4838107440155,1224947712
True,20,0,3,1.4837474040687084,1224947712
True,20,0,4,1.4840957159176469,1224947712
True,20,0,5,1.4831925940234214,1224947712
True,20,0,6,1.5086719740647823,1224947712
True,20,0,7,1.4833512608893216,1224947712
True,20,0,8,1.4838864949997514,1224947712
True,20,0,9,1.4839600550476462,1224947712
True,20,0,10,1.4832262301351875,1224947712
True,1,1,1,1.481972174020484,1224947712
True,1,1,2,1.4738364729564637,1224947712
True,1,1,3,1.4732313610147685,1224947712
True,1,1,4,1.4738534048665315,1224947712
True,1,1,5,1.474015412852168,1224947712
True,1,1,6,1.473431914113462,1224947712
True,1,1,7,1.4693699749186635,1224947712
True,1,1,8,1.4685358800925314,1224947712
True,1,1,9,1.4804080580361187,1224947712
True,1,1,10,1.4611294812057167,1224947712
True,2,1,1,1.459531128872186,1224947712
True,2,1,2,1.4587479489855468,1224947712
True,2,1,3,1.4595849958714098,1224947712
True,2,1,4,1.4938114751130342,1224947712
True,2,1,5,1.5442068171687424,1224947712
True,2,1,6,1.4566783520858735,1224947712
True,2,1,7,1.4553766071330756,1224947712
True,2,1,8,1.453030486125499,1224947712
True,2,1,9,1.4753033760935068,1224947712
True,2,1,10,1.4519741621334106,1224947712
True,4,1,1,1.4530925638973713,1224947712
True,4,1,2,1.4531079300213605,1224947712
True,4,1,3,1.4527640028391033,1224947712
True,4,1,4,1.4528301139362156,1224947712
True,4,1,5,1.4533056588843465,1224947712
True,4,1,6,1.4528676860500127,1224947712
True,4,1,7,1.452216082951054,1224947712
True,4,1,8,1.4529138498473912,1224947712
True,4,1,9,1.4528455790132284,1224947712
True,4,1,10,1.4529905619565398,1224947712
True,10,1,1,1.452432039193809,1224947712
True,10,1,2,1.452913983957842,1224947712
True,10,1,3,1.4535600531380624,1224947712
True,10,1,4,1.4521667880471796,1224947712
True,10,1,5,1.4530407118145376,1224947712
True,10,1,6,1.4526516739279032,1224947712
True,10,1,7,1.4528544049244374,1224947712
True,10,1,8,1.4525331461336464,1224947712
True,10,1,9,1.4530597520060837,1224947712
True,10,1,10,1.4529724530875683,1224947712
True,20,1,1,1.4527976082172245,1224947712
True,20,1,2,1.4522754929494113,1224947712
True,20,1,3,1.4530426438432187,1224947712
True,20,1,4,1.4528552880510688,1224947712
True,20,1,5,1.451989616965875,1224947712
True,20,1,6,1.4537651760037988,1224947712
True,20,1,7,1.4526532399468124,1224947712
True,20,1,8,1.45341791305691,1224947712
True,20,1,9,1.4525106479413807,1224947712
True,20,1,10,1.4530310020782053,1224947712
True,1,2,1,1.4529593070037663,1224947712
True,1,2,2,1.4561010159086436,1224947712
True,1,2,3,1.4526383099146187,1224947712
True,1,2,4,1.453527863835916,1224947712
True,1,2,5,1.4525575099978596,1224947712
True,1,2,6,1.4523351918905973,1224947712
True,1,2,7,1.4530644160695374,1224947712
True,1,2,8,1.4523674619849771,1224947712
True,1,2,9,1.4532875909935683,1224947712
True,1,2,10,1.452145499177277,1224947712
True,2,2,1,1.4530987050384283,1224947712
True,2,2,2,1.452685158001259,1224947712
True,2,2,3,1.452572193928063,1224947712
True,2,2,4,1.45270240213722,1224947712
True,2,2,5,1.4526367031503469,1224947712
True,2,2,6,1.4531848367769271,1224947712
True,2,2,7,1.4529104949906468,1224947712
True,2,2,8,1.4528496689163148,1224947712
True,2,2,9,1.452795343939215,1224947712
True,2,2,10,1.4532273290678859,1224947712
True,4,2,1,1.4527889548335224,1224947712
True,4,2,2,1.4528474288526922,1224947712
True,4,2,3,1.452733586076647,1224947712
True,4,2,4,1.4529179341625422,1224947712
True,4,2,5,1.4527033369522542,1224947712
True,4,2,6,1.452484959969297,1224947712
True,4,2,7,1.4523209119215608,1224947712
True,4,2,8,1.4526349131483585,1224947712
True,4,2,9,1.4533512007910758,1224947712
True,4,2,10,1.4528804551810026,1224947712
True,10,2,1,1.4535283148288727,1224947712
True,10,2,2,1.4524280379991978,1224947712
True,10,2,3,1.4531373530626297,1224947712
True,10,2,4,1.4525759951211512,1224947712
True,10,2,5,1.4531423130538315,1224947712
True,10,2,6,1.4522509868256748,1224947712
True,10,2,7,1.4536965668667108,1224947712
True,10,2,8,1.4528286268468946,1224947712
True,10,2,9,1.4525345880538225,1224947712
True,10,2,10,1.4534367779269814,1224947712
True,20,2,1,1.4524200840387493,1224947712
True,20,2,2,1.453151165973395,1224947712
True,20,2,3,1.4540772479958832,1224947712
True,20,2,4,1.458154785912484,1224947712
True,20,2,5,1.4532514389138669,1224947712
True,20,2,6,1.4530278930906206,1224947712
True,20,2,7,1.5160451009869576,1224947712
True,20,2,8,1.4546340678352863,1224947712
True,20,2,9,1.4593493461143225,1224947712
True,20,2,10,1.4530596770346165,1224947712
