l1_load_misses,bs,llc_load_misses,wall_time,algo,rep
1272640059,1,54112842,51.374685478,ij,1
2359968285,1,69717005,106.970680717,ji,1
2000718251,128,74813585,110.76609789,tiled,1
2111684028,256,65634859,93.477497156,tiled,1
199325122,512,22987389,3.847912395,tiled,1
146252213,1024,22403745,0.893598748,tiled,1
183935699,2048,23249355,2.94430566,tiled,1
147918140,4096,20369057,0.942767086,tiled,1
146321937,23170,14272377,0.880910428,tiled,1
181919126,8192,16494642,2.241901731,tiled,1
187471438,16384,15052720,2.662512648,tiled,1
155401045,32768,14528367,1.273491021,tiled,1
146013004,46341,14317111,0.925169358,tiled,1
176756359,92682,14793274,2.120719628,tiled,1
150688613,131072,14456822,1.083591794,tiled,1
154078198,262144,14508411,1.212167211,tiled,1
143219772,524288,13769954,0.761345807,tiled,1
53585627,16,13186697,0.502103555,tiled,1
139102885,185364,13063456,0.612845159,tiled,1
55611007,23,13112147,0.521795327,tiled,1
51615967,32,13080722,0.491645895,tiled,1
139099600,5793,18320271,0.646239082,tiled,1
142390077,1448,21982210,0.661726858,tiled,1
139097560,370728,13063360,0.611719585,tiled,1
58372680,45,13107712,0.49811106,tiled,1
55137223,181,15581959,0.504140183,tiled,1
54124740,64,13147670,0.486295274,tiled,1
139099930,11585,13063091,0.613140914,tiled,1
139100513,65536,13063088,0.612638077,tiled,1
139100037,741455,13061823,0.61241524,tiled,1
138762166,2896,20468550,0.63882808,tiled,1
138867994,724,20707649,0.556214296,tiled,1
54494407,91,13757721,0.495250444,tiled,1
137124877,362,19470257,0.548168665,tiled,1
