# HOSTNAME=host
# N=12000
# DEBUG=0
# NUM_ITERS=20
# BLOCK_SIZE=200
ALGO,NUM_THREADS,REP,RUNNING_TIME,OUTPUT
0,,1,7.044780049473047,-1839653588
0,,2,6.9591452376917005,-1839653588
0,,3,7.789436009712517,-1839653588
0,,4,7.418366909958422,-1839653588
0,,5,7.7728303568437696,-1839653588
0,,6,7.983920124359429,-1839653588
0,,7,8.055474433116615,-1839653588
0,,8,8.078282149508595,-1839653588
0,,9,8.123019099235535,-1839653588
0,,10,8.059710073284805,-1839653588
1,1,1,21.52545882668346,-1839653588
1,1,2,22.083372269757092,-1839653588
1,1,3,22.881805271841586,-1839653588
1,1,4,26.48658078815788,-1839653588
1,1,5,22.361074936576188,-1839653588
1,1,6,19.81160079780966,-1839653588
1,1,7,19.718647512607276,-1839653588
1,1,8,19.74300909601152,-1839653588
1,1,9,19.722237980924547,-1839653588
1,1,10,19.878323742188513,-1839653588
1,2,1,10.088614422827959,-1839653588
1,2,2,10.365093513391912,-1839653588
1,2,3,10.085872096940875,-1839653588
1,2,4,10.071143448352814,-1839653588
1,2,5,10.073789556510746,-1839653588
1,2,6,10.051574134267867,-1839653588
1,2,7,10.838295885361731,-1839653588
1,2,8,10.303022260777652,-1839653588
1,2,9,11.510099783539772,-1839653588
1,2,10,11.103766690008342,-1839653588
1,3,1,8.081089443527162,-1839653588
1,3,2,7.037424037232995,-1839653588
1,3,3,7.245035880245268,-1839653588
1,3,4,8.232825346291065,-1839653588
1,3,5,10.348701630719006,-1839653588
1,3,6,8.547573370859027,-1839653588
1,3,7,9.361492465250194,-1839653588
1,3,8,8.0527603328228,-1839653588
1,3,9,8.16411853581667,-1839653588
1,3,10,7.529799995943904,-1839653588
1,4,1,5.5531118446961045,-1839653588
1,4,2,5.250136859714985,-1839653588
1,4,3,5.571232351474464,-1839653588
1,4,4,6.197223991155624,-1839653588
1,4,5,6.701521419920027,-1839653588
1,4,6,6.701889546588063,-1839653588
1,4,7,6.789188171736896,-1839653588
1,4,8,7.056407978758216,-1839653588
1,4,9,5.838367730379105,-1839653588
1,4,10,6.296895475126803,-1839653588
1,5,1,5.599618528969586,-1839653588
1,5,2,6.125744833610952,-1839653588
1,5,3,5.0965936640277505,-1839653588
1,5,4,5.747678742744029,-1839653588
1,5,5,16.18402896914631,-1839653588
1,5,6,13.94655479118228,-1839653588
1,5,7,16.537249967455864,-1839653588
1,5,8,16.315068423748016,-1839653588
1,5,9,10.216414141468704,-1839653588
1,5,10,15.212608809582889,-1839653588
1,6,1,11.393754880875349,-1839653588
1,6,2,8.559920690022409,-1839653588
1,6,3,10.667076198384166,-1839653588
1,6,4,14.84049985744059,-1839653588
1,6,5,13.020063505508006,-1839653588
1,6,6,11.687869529239833,-1839653588
1,6,7,14.58938111178577,-1839653588
1,6,8,15.755734961479902,-1839653588
1,6,9,12.470637459307909,-1839653588
