# HOSTNAME=login-0001
# N=12000
# DEBUG=0
# NUM_ITERS=20
# BLOCK_SIZE=200
ALGO,NUM_THREADS,REP,RUNNING_TIME,OUTPUT
0,,1,14.60225974675268,-1839653588
1,1,1,15.501195912249386,-1839653588
1,2,1,16.35888091288507,-1839653588
1,3,1,18.979664548765868,-1839653588
1,4,1,20.185850821901113,-1839653588
1,5,1,21.989911062642932,-1839653588
1,6,1,22.795162443071604,-1839653588
1,7,1,23.779971118085086,-1839653588
1,8,1,25.181688693352044,-1839653588
1,9,1,26.007341634947807,-1839653588
1,10,1,27.211032282095402,-1839653588
1,11,1,28.21517571527511,-1839653588
1,12,1,29.202365587931126,-1839653588
1,13,1,30.419867863878608,-1839653588
1,14,1,31.62571312300861,-1839653588
1,15,1,32.62732951482758,-1839653588
1,16,1,33.430322614032775,-1839653588
1,17,1,34.634088221006095,-1839653588
1,18,1,35.837006776127964,-1839653588
1,19,1,36.84205292491242,-1839653588
1,20,1,37.64393147500232,-1839653588
2,1,1,24.74932510824874,-1839653588
2,2,1,44.985611103940755,-1839653588
2,3,1,154.00386408017948,-1839653588
2,4,1,223.0337118827738,-1839653588
