# HOSTNAME=unknown
# N_CORES=5
# ALGO=pipelined_ring_bcast
# CHUNK_SIZE=1000000
# LATENCY=10000
# NETWORK_STRUCTURE=ring
# TIME=1
N_CORES,ALGO,CHUNK_SIZE,LATENCY,NETWORK_STRUCTURE,OUTPUT_TIME,OUTPUT,RUNNING_TIME
20,pipelined_ring_bcast,100000,10000,ring,1,0.408,6.057865595445037
35,pipelined_ring_bcast,100000,10000,ring,1,0.416,10.188754514791071
50,pipelined_ring_bcast,100000,10000,ring,1,0.429,14.448259252123535
20,pipelined_ring_bcast,500000,10000,ring,1,0.227,5.999235148541629
35,pipelined_ring_bcast,500000,10000,ring,1,0.236,10.117476547136903
50,pipelined_ring_bcast,500000,10000,ring,1,0.249,14.132590290158987
20,pipelined_ring_bcast,1000000,10000,ring,1,0.211,6.011809051968157
35,pipelined_ring_bcast,1000000,10000,ring,1,0.226,10.155379346571863
50,pipelined_ring_bcast,1000000,10000,ring,1,0.241,14.106452651321888
20,pipelined_ring_bcast,5000000,10000,ring,1,0.250,6.052604594267905
35,pipelined_ring_bcast,5000000,10000,ring,1,0.316,10.055584180168808
50,pipelined_ring_bcast,5000000,10000,ring,1,0.383,14.025336842052639
20,pipelined_ring_bcast,10000000,10000,ring,1,0.320,6.006865772418678
35,pipelined_ring_bcast,10000000,10000,ring,1,0.450,10.031026094220579
50,pipelined_ring_bcast,10000000,10000,ring,1,0.580,13.990438952110708
20,pipelined_ring_bcast,50000000,10000,ring,1,0.896,6.310847197659314
35,pipelined_ring_bcast,50000000,10000,ring,1,1.537,9.989021400921047
50,pipelined_ring_bcast,50000000,10000,ring,1,2.177,14.044436416588724
20,pipelined_ring_bcast,100000000,10000,ring,1,1.619,6.100315195508301
35,pipelined_ring_bcast,100000000,10000,ring,1,2.897,10.02108131814748
50,pipelined_ring_bcast,100000000,10000,ring,1,4.175,14.154342723079026
100,pipelined_ring_bcast,100000,10,ring,1,0.505,28.900513222441077
100,pipelined_ring_bcast,500000,10,ring,1,0.324,27.769824786111712
100,pipelined_ring_bcast,1000000,10,ring,1,0.317,27.837132239714265
100,pipelined_ring_bcast,5000000,10,ring,1,0.603,27.408583112061024
100,pipelined_ring_bcast,10000000,10,ring,1,1.014,27.567383447661996
100,pipelined_ring_bcast,50000000,10,ring,1,4.311,27.404483382590115
100,pipelined_ring_bcast,100000000,10,ring,1,8.436,27.211451306007802
